Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
Michael Jackson,You Rock My World,11,11.0,2.0,2001-09-11,"August 22, 2001","R&;B,Pop","Nora payne, Lashawn daniels, Fred jerkins iii, Rodney jerkins, Michael jackson","You Rock My World 
Oh man! Look at that girl, right there!
Goodness gracious! That girl fine, man!
Look at it, she just too fine! She know she fine too!
She is banging!
She's off the hook!
She looks good, you're right
Hey, I bet you, can't nobody get that girl
Chris, I can get her
You can't get that girl, Mike
I guarantee you can't get that girl!
Watch me get that girl
I bet you never-Neverland, you can't
I can get her
All right! Shomon, then, Shomon!
Watch
I don't think they're ready for this one
Darkchild I like that
My life will never be the same
'Cause girl, you came and changed
The way I walk
The way I talk
I cannot explain these things I feel for you
But girl, you know it's true
Stay with me, fulfill my dreams
And I'll be all you'll need
Oh, oh, oh, oh, ooh, it feels so right Girl
I've searched for the perfect love all my life All my life
Oh, oh, oh, oh, ooh, it feels like I Like I
Have finally found her perfect love is mine See
And I finally found, come on, girl
You rocked my world, you know you did
And everything I own I give You rocked my world
The rarest love who'd think I'd find
Someone like you to call mine You rocked my world
You rocked my world, you know you did Girl
And everything I own I give Come on, girl
The rarest love who'd think I'd find
Someone like you to call mine
In time I knew that love would bring
This happiness to me
I tried to keep my sanity
I waited patiently
Girl, you know it seems
My life is so complete
A love that's true because of you
Keep doing what you do
Oh, oh, oh, oh, who'd think that I Oh
Have finally found the perfect love I searched for all my life Searched for all my life
Oh, oh, oh, oh, who'd think I'd find
Whoa oh oh
Such a perfect love that's awesomely so right Whoa, girl
You rocked my world, you know you did Come on, come on, come on, come on
And everything I own I give
The rarest love who'd think I'd find Girl
Someone like you to call mine You rocked my world
You rocked my world You rocked my world, you know you did
And everything I own I give Girl, girl, girl
The rarest love who'd think I'd find
Someone like you to call mine Girl
You rocked my world, you know you did Oh
And everything I own I give You rocked my world
The rarest love who'd think I'd find
Someone like you to call mine
You rocked my world Oh, you know you did
And everything I own I give To rock my world
The rarest love who'd think I'd find
Someone like you to call mine
And girl, I know that this is love
I feel the magic all in the air
And girl, I'll never get enough
That's why I always have to have you here, hoo
You rocked my world You rocked my world, you know you did
And everything I own I give Look what you did to me, baby, yeah
The rarest love who'd think I'd find
Someone like you to call mine You rocked my world
You rocked my world, you know you did Know you did baby
And everything I own I give Cause you rocked my world
The rarest love who'd think I'd find Hoo, hoo
Someone like you to call mine
You rocked my world
You rocked my world, you know you did
The way you talk to me, the way you're loving me
The way you give it to me
You rocked my world, you know you did
Give it to me
Yeah, yeah, yeah yeah ooh
You rocked my world You rocked my world, you know
You did
You rocked my world, you rocked my world
Come on, girl You rocked my world Come on, girl
You know you did
Baby, baby, baby
And everything I own I give
The rarest love who'd think I'd find
Someone like you to call mine
You rocked my world, you know you did
And everything I own I give
The rarest love who'd think I'd find
Someone like you to call mine
",
Ginuwine,Differences,14,14.0,9.0,2001-09-18,"April 3, 2001","Soul,Soul Pop,Pop,R&;B","Ginuwine, Troy oliver","Differences 
Oh, hey...
Oh, yeah, oh, yeah
To you
Oh, yeah, oh, yeah
My whole life has changed
Since you came in, I knew back then
You were that special one
I'm so in love, so deep in love
You made my life complete
You are so sweet, no one competes
Glad you came into my life
You blind me with your love
With you I have no sight
Girl, you open me, I'm wide open
And I'm doing things I never do
But I feel so good, I feel so good
Why it takes so long for me finding you
This is my story and I'm telling you
It's not fiction, it's surely a fact
Without you right here having my back
I really don't know just where I'd be at
My whole life has changed my whole life has changed
Since you came in, I knew back then ooh, oh
You were that special one you were, baby
I'm so in love, so deep in love
You made my life complete made my life complete
You are so sweet oh, oh, no one competes
Glad you came into my life ooh
You blind me with your love
With you I have no sight
I analyzed myself, I was buckwild
Never thought about settling down
But all the time I knew I was ready
But not with all my friends around
But girl, I put you first now I put you first now
You made me, helped mold me helped mold me, baby
Turned me into a man, I'm so responsible
And I owe it all to you
My whole life has changed my whole life has changed
Since you came in, I knew back then oh, oh
You were that special one you were that special one
I'm so in love, so deep in love oh, oh, oh
You made my life complete you made my life complete
You are so sweet, no one competes
Glad you came into my life so glad you came in
You blind me with your love blind me, baby
With you I have no sight
God has blessed me God has blessed me, baby
Girl, he was good to me when he sent you
I'm so happy, baby
I'm so happy, I'm so happy, baby, oh, yes, baby
Share my world Come and share my world, baby
Oh...whoa...yeah, yeah
I'm so in love I'm so in love
I'm addicted to your love, baby, yeah
My whole life has changed oh, yes, I am
Since you came in, I knew back then ooh
You were that special one you were that very, very
Special one
I'm so in love you were that very, very special one
So deep in love
You made my life complete you made my life complete
You are so sweet yes, you did, baby, no one competes
No one competes, hah
Glad you came into my life
You blind me with your love come on
With you I have no sight
My whole life has changed my whole life has changed
Since you came in, I knew back then you made a difference in my life
You were that special one I knew you were that special one
I'm so in love, so deep in love when I first laid eyes on you, babe
You made my life complete you made my life complete, darlin'
You are so sweet, no one competes no one competes, baby
Glad you came into my life no one, no one
You blind me with your love no one
With you I have no sight come on
My whole life has changed oh...whoa...whoa...whoa...
Since you came in, I knew back then
",
Trick Daddy,I'm A Thug,20,20.0,10.0,2001-09-18,"March 20, 2001",Rap,Trick daddy,"I'm a Thug 
Funk, hit me up with some of that thug
Yup, just like that, hit em in the chest with it
One time, one time again in the head
For Buddy Roe y'all, check it out
I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out
Could it be my baggy jeans, or my gold teeth
That make me different from y'all
Ain't tripping dog, but listen dog
I was raised a little different than y'all
I'm just doing my thing, using my ghetto slang
And I'm representing thug shit
Niggas who I roll with
Watch them niggas they're gon' love this
Niggas who - out on bond, on the run
And got ten years on parole
Since you can't say it dog, I'mma say it for y'all
Motherfuck the po-po's
Fuck the judge and C.O.'s, fuck the D.A and P.O.'s
Fuck the family of the victim
Witness, and snitchin ass hoes - nigga
I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out
See I'm so tight, niggas be like
That nigga got so many hoes
And I know he got clout, look at his mouth
That nigga got so many golds
Niggas be telling they hoes
There's some'n up with that nigga
Bitch I've been watching you watchin him
You must wanna fuck this nigga
My name alone, been known to break up happy homes
No disrespect dog
But you ain't have no business even answering her phone
Hello, who is this
If your ass was home, then
Me and her couldn'ta been gettin it on
And you couldn't have been hittin her right
Cause ever since that night she been hittin the phone
She want a thug
I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out
Since y'all niggas wanna smoke the blunts, pump the guns
I'mma show you how to thug it dog, thug it dog
Give me half a pill, and some Zephyrhill
And I'm like fuck it dog, fuck it dog
Long as my ecstasy got the best of me, ec-stasy
Then none of you niggas ain't stressing me
I got one request in this bitch
And you can have the rest of this shit, bitch
If a nigga drop some shit, it's wack as hell
And don't make no damn sense
Take it back, talk about it, and tell your dog
Don't even buy that shit
And I don't care who he is, or where he from
I represent thug shit
And you ain't gotta give me my props or nominate me
Cause dammit, I love this
I don't know, what this world's gonna bring
But I know one thing, that this is the life for me
Baby cause I'm a thug
All day every day, baby cause I'm a thug
Wouldn't change for the world; uh uh, cause I'm a thug
That's right you heard, baby cause I'm a thug
Ah hah, oh yeah; check it out
",
Enya,Only Time,18,18.0,12.0,2001-09-25,"November 20, 2000","Ballad,Ireland,Adult Contemporary,New Age,Pop","Nicky ryan, Enya","Only Time 
Who can say where the road goes
Where the day flows, only time
And who can say if your love grows
As your heart chose, only time
Who can say why your heart sighs
As your love flies, only time
And who can say why your heart cries
When your love lies, only time
Who can say when the roads meet
That love might be in your heart
And who can say when the day sleeps
If the night keeps all your heart
Night keeps all your heart
Who can say if your love grows
As your heart chose, only time
And who can say where the road goes
Where the day flows, only time
Who knows? Only time
Who knows? Only time
",
Ja Rule,Livin' It Up,19,19.0,6.0,2001-10-02,"July 3, 2001","Gangsta Rap,Hip-Hop,East Coast,Rap","Irv gotti, Lil rob, Stevie wonder, Case, Ja rule","Living it Up 
Yea, yea, yea
Where all my...
Uhh, yea c'mon, c'mon uhh
To all my ladies that be giving it up, uh
To everybody that be living it up, we say...
To all my ladies that be giving it up, ah
C'mon, baby
This ain't your typical, everyday, one night thing
It's a physical, I'ma love you tonight thing
Love , calling your name, put your phone in the Range
And roll over, i just really wanted to hold ya
Time to know ya - that's a good chick
Before it's all over, I'ma meat this chick
Probably treat this chick, mo' betta
Cause if you ain't - know, thugs and ladies go together
Popping my collar, patnah - who in the spot?
Baby, Rule in the spot; and the mug and the watch ugly
Half the hoes hate me, half them love me
The ones that hate me only hate me cause they don't trust me
And they say I'm lucky; you think I got time
To blow all this dough and do all these shows?
Or flight in the llama chargin white Rolls
Uh-oh, another episode
What, do I do?
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be living it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
Ladies, just wanna hold a name Miss Atkins
That's why they show love
with mo' passion than average
And I ain't mad at' never leave you alone
Cause the song when I'm home, like the song when I'm gone
We both grown, both got minds of our own
Plus we hit it off like first sight in Love Jones""
Been in, many zones, baby love it all hate it all
From, prissy women to women who go to shadows
But you know, the Rule be living it up
And got all y'all, giving it up
I like a, little ooh baby, how cute are you?
With a body that rides on sexual
I got a stick, I'll ride right next to you
Do a doughnut, and cut, then I'll open it up
On the freeway, hand on the wheel, foot on the clutch
Rule baby, not giving it up
What, do I do?
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be living it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
C'mon, we get right
C'mon, we get live
C'mon, we get right
Live yo' life
Love you so sexy, I just want you next to me
Your whole vibe, like you high on ecstasy
Cause it ain't nutting but a E' thang, bay-bay
I know the pussy wet like crazy
I wanna, feel your passion, come when you askin'
Laugh when you cryin', cry when you laughin
But ain't nothing happenin', a girl got a little uptight
Turned off the light and then started crashin'
The radio blasting Between Me and You""
But, you ain't on the low with that freaky thing you do
Girl I thought you knew what I do, know I know
what you do
Cause it ain't a good night if you don't ain't right
Like, Teddy P let's Turn Off the Lights""
And, grind it out, taking no times out
'til the sun come out, let me find out
What, do I do?
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be living it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be livin it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
C'mon, we get right
C'mon, we get live
C'mon, we get right
It's my time
Rule, baby
Yeah
Do a roll
What do I do
Low key
We out, we out
",Case
Bubba Sparxxx,Ugly,20,20.0,7.0,2001-10-09,"August 6, 2001","Dirty South,Hip-Hop,Country Rap,Country,Rap","Timbaland, Bubba sparxxx","Ugly 
Uhh uh-oh, uh-oh
Tch-tchka-tchka-tchka-tchka uhh
Uh-oh, uh-oh
Tchka-tchka uhh
Uh-oh, uh-oh
Say what, say what? Freaky freaky uhh
Tchka-tchka-tchka-tchka Bubba
Shit I ain't choose to rhyme; rhyming chose me
So I hit the track running - like a nosebleed
Life ain't great now, but it's much improved
Yo' album dropping this summer? That sucks for you
'Cause this is Bubba's moment - I put my mother on it
I said my momma; it seems as if I love her don't it?
So buckle up, cause it's gon' get bumpy
I call my girlfriends Betty's, and my shits grumpies
That Bubba talk - gotcha open wide
I giggle outside the booth; but ain't no joke inside
This is complicated - at least to y'all it is
Just let me sell fifty million, then I'll call it quits
But until that day, y'all in deep doo doo
I never once saw you crank it cause I just leap through you
What you need to do, is just admit you love me
The South has always been Dirty but now it's getting ugly
Ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly, ugly, ugly
In here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here - uh-ohh!
Though I am country, don't get the wrong idea
My ego's getting bigger, with every song I hear
'Cause y'all been bullshittin', spitting that booty chatter
Out here for two days and came with something that truly matters
On goes the saga - of Bubba's plight
She won't see tomorrow, if I don't cut tonight
That's just my mood now; I hate it came to this
How else can I say it I don't speak no other languages
I'm fairly ripped now, so this the jimmy talkin'
You hear that beat don'tcha? That's just Timmy talkin'
Go head throw dem' bows - fuck it, break a bottle
Let's be honest none of us will ever date a model
So let's just cut it loose, ignore the repercussions
If you scared, then just forget what we discussin'
This that new South - take a picture of me
'Cause I'm a fucking legend, and this is getting ugly
Ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly, ugly, ugly
In here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here - uh-ohh!
Now this thang is jumping - ain't it somethin'?
What makes it special, this whole moment came from nothin'
Now you see it triples; I bet she slurp tonight
Lames hide your wallets hating broads clutch your purses tight
If you ain't trying to live, you with the wrong crowd
And if you feeling brave then better sport that thong proud
And if you finally breathin', then sing this song loud
I'm glad I got you wet I know you had a long drought
Don't worry about the law - they can't arrest us all
I had to crank couldn'ta done nothing less for y'all
Forget your inhibitions; I wanna see you wylin'
And if Bubba dies tonight - know he was smilin'
Ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly, ugly, ugly
In here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here - uh-ohh!
Ha ha, it's gon' get uglyy - in here!
Thck-thck Huh, in here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here!
It's gon' get ugly say what?
Ugly, ugly Say what? Ugly! In here! Huh, in here!
It's gon' get ugly - in here!
Huh, in here! Huh, in here - uh-ohh!
Thcka-thcka-thcka-thcka-thcka check switch uhh
{*""Get Ur Freak On beat*} Switch it one time
{*Bubba's Ugly beat*} Now switch it back baby
{*""Get Ur Freak On beat*} Switch it one time
{*Bubba's Ugly beat*} Now switch it back baby
""Holla!! Ain't no stoppin me - Missy
""Copywritten so so what? don't copy me""
{*Bubba's Ugly beat*} I want you to..
""Holla!! Ain't no stoppin me - Missy
""Copywritten so, don't copy me""
C'mon Bubba, let's go
",
Nelly Furtado,Turn Off The Light,17,17.0,9.0,2001-10-09,"August 14, 2001","Canada,Pop",Nelly furtado,"Turn Off the Light 
It's getting so lonely inside this bed
Don't know if I should lick my wounds or say woe is me instead
And there's an aching inside my head
It's telling me, You're better off alone""
But after midnight, morning will come
And the day will see if you will get some
They say that girl ya know, she act too tough tough tough
Well it's till' I turn off the light, turn off the light
They say that girl you know, she act so rough rough rough
Well it's til I turn off the light, turn off the light
And I say, follow me follow me follow me down down down down
'Til you see all my dreams
Not everything in this magical world is quite what it seems
I looked above the other day
'Cause I think I'm good and ready for a change
I live my life by the moon By the moon
If it's high play it low, if it's harvest go slow and if it's full, then go
But after midnight, morning will come
And the day will see if you will get some
They say that girl ya know, she act too tough tough tough
Well it's til I turn off the light, turn off the light
They say that girl you know, she act so rough rough rough
Well it's til I turn off the light, turn off the light
And I say, follow me follow me follow me down down down down
'Til you see all my dreams
Not everything in this magical world is quite what it seems
I'm searching for things that I just cannot see
Why don't you, don't you, don't you come and be with me?
I pretend to be cool with me, wanna believe
That I can do it on my own without my heart on my sleeve
I'm running, I'm running, catch up with me life
Where is the love that I'm looking to find?
It's all in me, can't you see, why can't you, why can't you see it's all in me?
All in me yeah, where is your logic?
Turn off the light, turn off the light
Who do you need?
Turn off the light, turn off the light
And I said follow me, follow me, follow me
Down, down, down, down
Do you see all my dreams? Yeah
Not everything in this magical world is quite what it seems
Follow me, follow me
Down, down, down, down
Turn off the light, turn off the light
Follow me down, follow me
Down, down, down
Turn off the light, turn off the light
And I said follow me, follow me, follow me
Down, down, down, down
Do you see all my dreams?
See all my dreams
Follow me follow me follow me
Down down down down
See all my dreams
See all my dreams
All in me yeah, where is your logic?
Turn off the light, turn off the light
Who do you need?
Turn off the light, turn off the light
Where can you turn?
Turn off the light, turn off the light
Who do you need?
",
Whitney Houston,The Star Spangled Banner,13,13.0,15.0,2001-10-16,,"R&;B,Rock",Francis scott key,"The Star Spangled Banner 
Oh, say can you see, by the dawn's early light
What so proudly we hailed at the twilight's last gleaming
Whose broad stripes and bright stars, through the perilous fight
O'er the ramparts we watched, were so gallantly streaming
And the rockets red glare, the bombs bursting in air
Gave proof through the night that our flag was still there
O say, does that star-spangled banner yet wave
O'er the land of the free and the home of the brave
On the shore, dimly seen through the mists of the deep
Where the foe's haughty host in dread silence reposes
What is that which the breeze, o'er the towering steep
As it fitfully blows, now conceals, now discloses?
Now it catches the gleam of the morning's first beam
In full glory reflected now shines on the stream
'Tis the star-spangled banner! O long may it wave
O'er the land of the free and the home of the brave
And where is that band who so vauntingly swore
That the havoc of war and the battle's confusion
A home and a country should leave us no more
Their blood has wiped out their foul footstep's pollution
No refuge could save the hireling and slave
From the terror of flight, or the gloom of the grave
And the star-spangled banner in triumph doth wave
O'er the land of the free and the home of the brave
Oh! thus be it ever, when freemen shall stand
Between their loved homes and the war's desolation
Blest with victory and peace, may the heaven-rescued land
Praise the Power that hath made and preserved us a nation
Then conquer we must, for our cause it is just
And this be our motto: In God is our trust""
And the star-spangled banner forever shall wave
O'er the land of the free and the home of the brave
",
Michelle Branch,Everywhere,19,19.0,8.0,2001-10-16,"July 17, 2001","Pop-Rock,Pop","John shanks, Michelle branch","Everywhere 
Turn it inside out so I can see
The part of you that's drifting over me
And when I wake you're, you're never there
And when I sleep you're, you're everywhere
You're everywhere
Just tell me how I got this far
Just tell me why you're here and who you are
'Cause everytime I look
You're never there
And every time I sleep
You're always there
'Cause you're everywhere to me
And when I close my eyes
It's you I see
You're everything I know
That makes me believe
I'm not alone
I'm not alone
I recognize the way you make me feel
It's hard to think that you might not be real
I sense that now the water's getting deep
I try to wash the pain away from me
Away from me
'Cause you're everywhere to me
And when I close my eyes
It's you I see
You're everything I know
That makes me believe
I'm not alone
I'm not alone
Oh, whoa, whoa
And when I touch your hand
It's then I understand
The beauty that's within'
It's now that we begin
You always light my way
There never comes a day
No matter where I go
I always feel you so
'Cause you're everywhere to me
And when I close my eyes
It's you I see
You're everything I know
That makes me believe
I'm not alone
'Cause you're everywhere to me
And when I catch my breath
It's you I breathe
You're everything I know
That makes me believe
I'm not alone
You're in everyone I see
So tell me
Do you see me?
",
Enrique Iglesias,Hero,12,12.0,4.0,2001-10-16,"September 3, 2001","Spanish Music,Latin Pop,Pop","Mark taylor, Paul barry, Enrique iglesias","Hero 
Let me be your hero
Would you dance
If I asked you to dance?
Would you run
And never look back?
Would you cry
If you saw me crying?
Would you save my soul, tonight?
Would you tremble
If I touched your lips?
Would you laugh?
Oh please tell me this
Now would you die
For the one you loved?
Hold me in your arms, tonight
I can be your hero, baby
I can kiss away the pain
I will stand by you forever
You can take my breath away
Would you swear
That you'll always be mine?
Or would you lie?
Would you run and hide?
Am I in too deep?
Have I lost my mind?
I don't care, you're here tonight
I can be your hero, baby
I can kiss away the pain
I will stand by you forever
You can take my breath away
Oh, I just want to hold you
I just want to hold you
Oh, yeah
Am I in too deep?
Have I lost my mind?
Well, I don't care
You're here tonight
I can be your hero baby
I can kiss away the pain oh yeah
I will stand by you forever
You can take my breath away
I can be your hero
I can kiss away the pain
And I will stand by you forever
You can take my breath away
You can take my breath away
I can be your hero
",
Usher,U Got It Bad,16,16.0,6.0,2001-10-23,"August 7, 2001","Neo Soul,Soul Pop,Soul,R&;B","Bryan michael cox, Jermaine dupri","U Got It Bad 
When you feel it in your body, you found somebody who
Makes you change your ways like hanging with your crew
Said you act like you ready, but you don't really know
And everything in your past, you wanna let it go
I've been there, done it, fucked around
After all that, this is what I found
Nobody wants to be alone
If you're touched by the words in this song
Then maybe...
You got, you got it bad
When you're on the phone, hang up and you call right back
You got, you got it bad
If you miss a day without your friend, your whole life's off-track
Know you know you got it bad when you're stuck in the house
You don't wanna have fun, it's all you think about
You got it bad when you're out with someone
But you keep on thinking bout somebody else
You got it bad
When you say that you love them and you really know
Everything that used to matter don't matter no more
Like my money, all my cars you can have it all back
Flowers, cards and candy I do it just cause I'm
Said I'm fortunate to have you, girl
I want you to know I really adore you
All my people who know what's going on
Look at your mate, help me sing my song
Tell her: I'm your man, you're my girl
I'm gonna tell it to the whole wide world""
Ladies say: I'm your girl, you're my man
Promise to love you the best I can""
See, I've been there, done it, fucked around
After all that, this is what I found
Everyone of y'all are just like me
It's too bad that you can't see
That you got it bad
You got, you got it bad
When you're on the phone, hang up and you call right back
You got, you got it bad
If you miss a day without your friend, your whole life's off track
Know you know you got it bad when you're stuck in the house
You don't wanna have fun, it's all you think about
You got it bad when you're out with someone
But you keep on thinking bout somebody else
You got it bad
You got, you got it bad
When you're on the phone, hang up and you call right back
You got, you got it bad
If you miss a day without your friend, your whole life's off track
Know you know you got it bad when you're stuck in the house
You don't wanna have fun, it's all you think about
You got it bad when you're out with someone
But you keep on thinking bout somebody else...
",
Nickelback,How You Remind Me,17,17.0,9.0,2001-10-30,"August 21, 2001","Alternative Rock,Hard Rock,Post-Grunge,Rock","Ryan vikedal, Ryan peake, Mike kroeger, Chad kroeger","How You Remind Me 
Never made it as a wise man
I couldn't cut it as a poor man stealing
Tired of living like a blind man
I'm sick of sight without a sense of feeling
And this is how you remind me
This is how you remind me of what I really am
This is how you remind me of what I really am
It's not like you to say sorry
I was waiting on a different story
This time I'm mistaken
For handing you a heart worth breaking
And I've been wrong, I've been down
Been to the bottom of every bottle
These five words in my head
Scream Are we having fun yet?""
Yeah, yeah, yeah, no, no
Yeah, yeah, yeah, no, no
It's not like you didn't know that
I said I love you and I swear I still do
And it must have been so bad
'Cause living with me must have damn near killed you
And this is how you remind me of what I really am
This is how you remind me of what I really am
It's not like you to say sorry
I was waiting on a different story
This time I'm mistaken
For handing you a heart worth breaking
And I've been wrong, I've been down
Been to the bottom of every bottle
These five words in my head
Scream Are we having fun yet?""
Yeah, yeah, yeah, no, no
Yeah, yeah, yeah, no, no
Yeah, yeah, yeah, no, no
Yeah, yeah, yeah, no, no
Never made it as a wise man
I couldn't cut it as a poor man stealing
And this is how you remind me
This is how you remind me
This is how you remind me of what I really am
This is how you remind me of what I really am
It's not like you to say sorry
I was waiting on a different story
This time I'm mistaken
For handing you a heart worth breaking
And I've been wrong, I've been down
Been to the bottom of every bottle
These five words in my head
Scream Are we having fun yet?""
Yeah, yeah, are we having fun yet?
Yeah, yeah, are we having fun yet?
Yeah, yeah, are we having fun yet?
These five words in my head Yeah, yeah
No, no
",
Destiny's Child,Emotion,14,14.0,7.0,2001-11-06,"May 1, 2001","Adult Contemporary,Ballad,Cover,Soul Pop,Pop,R&;B","Barry gibb, Robin gibb","Emotion 
U yeah....
Its over and done
But the heart ache lives on inside
And who is the one you're clinging to
Instead of me tonight
And where are you now
Now that I need you
Tears on my pillow
Where ever you go, go
Cry me a river
That leads to your ocean
You'll never see me fall apart
In the words of a broken heart its just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me darlin'
Don't you know there's no no body left in this world to hold me tight
And don't you know there's no nobody left in this world to kiss goodnight
Kiss goodnight
Goodnight,goodnight
I'm there at your side
Apart of all the things you are
But you gotta find some one else
You gotta go find your shinning star
And where are you now
Now that I need you
Tears on my pillow
Where ever you go, go
Cry me a river
That leads to your ocean
You'll never see me all apart
In the words of a broken heart its just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me darlin'
Don't you know there's no no body left in this world to hold me tight
And don't you know there's no nobody left in this world to kiss goodnight
Kiss goodnight
Goodnight,goodnight
And where are you now
Now that I need you
Tears on my pillow
Where ever you go, go
Cry me a river
That leads to your ocean
You'll never see me all apart
In the words of a broken heart its just emotions taking me over
Caught up in sorrow
Lost in the song
But if you don't come back
Come home to me darlin'
Don't you know there's no no body left in this world to hold me tight
And don't you know there's no nobody left in this world to kiss goodnight
Kiss goodnight
Goodnight,goodnight
",
Aaliyah,Rock The Boat,18,18.0,10.0,2001-11-06,"January 15, 2002",R&;B,"Eric seats, Rapture stewart, Static major","Rock the Boat 
Mhmm, yeah, mhmm
Huh, uh, huh, uh
Ooh, yeah
Boy you know you make me float
Boy you really get me high ooh
I feel like I'm on dope
'Cause you, you serve me on a regular serve me on a regular
Boy, you gotta stroke ooh
Before drifting me deeper before drifting me deeper
Baby now hold me close
Let's take this overboard now
I want you to rock the boat
Rock the boat mhm
Rock the boat, rock the boat
Work it in the middle, work the middle
Work the middle, work the middle
Change positions, new positions
New positions ooh, new positions
Now stroke it baby
Stroke it for me, stroke it for me
Stroke it for me, stroke it for me
Ooh baby I love your stroke
'Cause you, cause you get me where I'm going cause you get me where I'm going
In a jury you'll get my vote
Cause I believe mmm
I believe you know just what you doing now
Baby, now we can coast let's coast, let's coast
Please don't get in a hurry oh, no
That's too slow hey
Go ahead and put that thing in overdrive
I want you to rock the boat
Rock the boat Ooh, hey!
Rock the boat, rock the boat
Work it in the middle, work the middle
Work it babe, work it babe
Work the middle, work the middle
Change positions, new positions
New positions ooh, new positions
Now stroke it baby
Stroke it for me, stroke it for me
Stroke it for me, stroke it for me
I want you to rock the boat
Rock the boat
Rock the boat, rock the boat hey!
Work it in the middle, work the middle
Work the middle ooh, work the middle hey!
Change positions, new positions
New positions ooh, new positions now!
Stroke it baby, stroke it for me yeah!
Stroke it for me, stroke it for me
Stroke it for me
Mm, stroke it baby, stroke it baby
Mmmm, work it baby, work it baby
Oooh stroke It
There is something I want you to do
I want you to use yourself hey!
Like you never ever used to do before never!
To explore my body explore it baby!
Until you reach the shore yeah!
You'll be calling, calling for more calling!
Rock the boat, rock the boat
Ooh! Rock the boat, rock the boat
Work it in the middle, work the middle
Ooh, work it baby, work it baby
Work the middle, work the middle
Change positions, new positions mmm, change
New positions, new positions hey
Stroke it for me baby!, stroke it for me
Stroke it for me, stroke it for me
I want you to rock the boat
Rock the boat ooh
Rock the boat ooh, rock the boat
Work it in the middle, work the middle
Oh, work it baby!
Work the middle, work the middle
Change positions, new positions
Change! New positions, new positions
Stroke it for me, yeah! stroke it for me
Stroke it for me, stroke it for me
Rock the boat, rock the boat
Rock the boat, rock the boat
Work the middle, work the middle
Work the middle, work the middle
Change positions, new positions
New positions, new positions
Stroke it for me, stroke it for me
Stroke it for me, stroke it for me
Rock the boat, rock the boat
Rock the boat, rock the boat
",
