song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Breakaway,Calliope,count,64,0,65,38,64,21,75,6,26,31,33,6,0,0,0,0
Breakaway,DistortionGtr,count,95,0,47,0,52,0,109,0,11,0,22,3,0,0,0,0
Breakaway,Fingered Bass,count,104,0,14,0,15,0,100,14,56,0,59,3,0,0,0,0
Breakaway,Jazz Guitar,count,12,0,12,0,12,0,21,0,12,0,12,0,0,0,0,0
Breakaway,Ocarina,count,12,0,0,0,2,0,9,0,0,0,4,2,0,0,0,0
Breakaway,Percussion,count,263,60,205,188,257,138,258,55,188,171,193,102,0,0,0,0
Breakaway,Steel Gtr.,count,465,6,438,307,349,304,421,186,369,302,371,201,0,0,0,0
Breakaway,Strings 1,count,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
Breakaway,"Voice Oohs, Distorted ",count,170,24,107,8,82,26,127,30,40,23,27,18,0,0,0,0
Breakaway,Warm Pad,count,300,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0
Breakaway,na,count,528,16,141,100,114,78,447,2,120,134,124,11,0,0,0,0
Breakaway,Calliope,count,64,0,65,38,64,21,75,6,26,31,33,6,0,0,0,0
Breakaway,DistortionGtr,count,95,0,47,0,52,0,109,0,11,0,22,3,0,0,0,0
Breakaway,Fingered Bass,count,104,0,14,0,15,0,100,14,56,0,59,3,0,0,0,0
Breakaway,Jazz Guitar,count,12,0,12,0,12,0,21,0,12,0,12,0,0,0,0,0
Breakaway,Ocarina,count,12,0,0,0,2,0,9,0,0,0,4,2,0,0,0,0
Breakaway,Percussion,count,263,60,205,188,257,138,258,55,188,171,193,102,0,0,0,0
Breakaway,Steel Gtr.,count,465,6,438,307,349,304,421,186,369,302,371,201,0,0,0,0
Breakaway,Strings 1,count,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
Breakaway,"Voice Oohs, Distorted ",count,170,24,107,8,82,26,127,30,40,23,27,18,0,0,0,0
Breakaway,Warm Pad,count,300,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0
Breakaway,na,count,528,16,141,100,114,78,447,2,120,134,124,11,0,0,0,0
times-are-changin_gitarre_piano,"Grand Piano, Piano",count,514,0,30,0,280,0,5,0,270,0,25,0,0,0,0,0
times-are-changin_gitarre_piano,"Steel Gtr., Gitarre",count,776,0,18,0,659,0,0,0,657,0,436,0,0,0,0,0
ALICIA_KEYS___FALLIN_,Grand Piano,count,56,1,51,0,49,0,48,0,50,0,50,0,47,0,48,0
ALICIA_KEYS___FALLIN_,Nylon Gtr.,count,47,1,30,0,42,0,33,0,33,0,28,0,46,0,36,0
ALICIA_KEYS___FALLIN_,Percussion,count,90,0,94,0,83,0,87,0,84,0,89,0,81,0,83,0
ALICIA_KEYS___FALLIN_,Soprano Sax,count,46,6,37,2,25,0,26,4,45,5,19,6,32,7,25,2
ALICIA_KEYS___FALLIN_,Strings 2,count,17,0,1,0,1,0,1,0,0,10,0,0,11,0,1,0
ALICIA_KEYS___FALLIN_,Voice Oohs,count,5,13,0,8,8,6,0,8,9,4,4,0,9,10,0,7
ALICIA_KEYS___FALLIN_,na,count,38,13,2,8,13,6,3,10,15,2,6,0,6,11,0,7
GoldenBrown,"Alto Sax, ru@euronet.nl",count,74,0,14,0,63,0,9,0,48,0,13,0,0,0,0,0
GoldenBrown,"Clarinet, Converted to XG",count,20,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0
GoldenBrown,Clav.,count,349,0,0,0,177,0,0,0,359,0,0,0,0,0,0,0
GoldenBrown,E.Piano 2,count,174,0,86,0,184,0,43,0,141,0,84,0,0,0,0,0
GoldenBrown,"Flute, Ron Uiterwijk",count,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
GoldenBrown,Fretless Bass,count,229,0,0,0,134,0,0,0,41,0,0,0,0,0,0,0
GoldenBrown,Harpsichord,count,394,0,213,0,267,0,265,0,281,0,206,0,0,0,0,0
GoldenBrown,Jazz Guitar,count,16,0,10,0,16,0,15,0,12,0,14,0,0,0,0,0
GoldenBrown,Percussion,count,434,115,0,3,414,83,2,9,467,117,0,30,0,0,0,0
GoldenBrown,na,count,394,8,212,1,267,0,265,0,281,14,206,0,0,0,0,0
Jimi_Hendrix_-_Manic_Depression,Clean Guitar,count,58,16,19,17,54,18,17,16,0,0,0,0,0,0,0,0
Jimi_Hendrix_-_Manic_Depression,"Clean Guitar, http://home7.inet.tele.dk/cns/midiplanet/",count,249,71,73,70,167,68,72,65,0,0,0,0,0,0,0,0
Jimi_Hendrix_-_Manic_Depression,"Fingered Bass, Tracked by RazTor (cns@post7.tele.dk)",count,179,54,55,52,143,55,62,53,0,0,0,0,0,0,0,0
Jimi_Hendrix_-_Manic_Depression,"Overdrive Gtr, &quot;Manic Depression&quot; by Jimi Hendrix Experience",count,249,71,73,70,167,68,72,65,0,0,0,0,0,0,0,0
Jimi_Hendrix_-_Manic_Depression,"Percussion, Visit The Midi Planet",count,221,207,209,212,213,215,207,210,0,0,0,0,0,0,0,0
Piano Man-Billy Joel_not the whole song,Fingered Bass,count,12,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Piano Man-Billy Joel_not the whole song,"Grand Piano, Piano Man",count,92,2,4,1,72,4,8,1,73,4,7,1,0,0,0,0
Piano Man-Billy Joel_not the whole song,Harmonica,count,32,0,7,0,7,0,7,0,10,0,9,0,0,0,0,0
Piano Man-Billy Joel_not the whole song,Percussion,count,9,3,1,4,4,2,1,1,5,0,2,5,0,0,0,0
Piano Man-Billy Joel_not the whole song,Steel Gtr.,count,5,0,0,0,9,0,0,0,7,0,1,0,0,0,0,0
